scope_date,scope_timezone,user_id,display_name,discord_id,discord_username,discord_global_name,is_bot,hands,vpip_pct,vpip_num,vpip_den,pfr_pct,pfr_num,pfr_den,three_bet_pct,three_bet_num,three_bet_den,four_bet_pct,four_bet_num,four_bet_den,fold_to_three_bet_pct,fold_to_three_bet_num,fold_to_three_bet_den,fold_to_four_bet_pct,fold_to_four_bet_num,fold_to_four_bet_den,cbet_flop_pct,cbet_flop_num,cbet_flop_den,cbet_turn_pct,cbet_turn_num,cbet_turn_den,cbet_river_pct,cbet_river_num,cbet_river_den,fold_to_cbet_flop_pct,fold_to_cbet_flop_num,fold_to_cbet_flop_den,fold_to_cbet_turn_pct,fold_to_cbet_turn_num,fold_to_cbet_turn_den,fold_to_cbet_river_pct,fold_to_cbet_river_num,fold_to_cbet_river_den,aggression,aggression_num,aggression_den,aggression_freq_pct,aggression_freq_num,aggression_freq_den,wtsd_pct,wtsd_num,wtsd_den,wsd_pct,wsd_num,wsd_den,wwsf_pct,wwsf_num,wwsf_den,bb_per_100,bb_per_100_num_cbb,bb_per_100_den_hands,net_cbb,showdown_cbb,non_showdown_cbb
,,d7565311-369b-443d-b602-95473d28af90,27,1195734263434326180,27_pkr,27,false,443,25.6,111,434,21.2,92,434,14.9,18,121,8.1,3,37,75,18,24,0,0,4,56.5,13,23,50,4,8,100,1,1,0,0,3,0,0,1,0,0,0,1.52,38,25,30.2,38,126,43.8,21,48,57.1,12,21,54.2,26,48,-78.46,-34756,443,-34756,-33364,-1392
,,69dae3bc-2e70-4da3-8ece-163c9d29c38b,ElNino,451300746382802946,el_nino20,yuya,false,1968,23.3,450,1932,18.6,359,1932,12.6,74,585,8.6,14,162,51.1,45,88,35.3,6,17,51.9,70,135,28.3,13,46,42.9,3,7,35.3,6,17,16.7,1,6,50,1,2,1.86,197,106,30.7,197,642,41.4,106,256,49.1,52,106,44.5,114,256,16.4,32275,1968,32275,67101,-34826
,,515f5c5f-5b5c-4a3f-ba3f-ef1f32da56e3,Fuku,809990241829519372,akaryu2028,Fuku,false,670,27.4,178,649,21,136,649,20.3,35,172,12.8,6,47,47.8,11,23,0,0,4,42.6,20,47,58.3,7,12,0,0,3,0,0,6,66.7,2,3,0,0,1,2.03,71,35,29.8,71,238,31,31,100,48.4,15,31,47,47,100,-15.86,-10628,670,-10628,-12219,1591
,,80ed0924-a443-4688-96aa-2929ea565ab3,Futa,532174437047599114,kawanamihuuta2668,Futa,false,75,26.7,20,75,21.3,16,75,8.3,2,24,0,0,7,33.3,1,3,0,0,0,33.3,2,6,50,1,2,0,0,0,0,0,1,100,1,1,0,0,0,1.50,9,6,26.5,9,34,41.7,5,12,0,0,5,25,3,12,-117.25,-8794,75,-8794,-7231,-1563
,,2f75309e-887d-4ea2-84a9-850ee94d75ac,GIL RAIM,1300408717233098805,gilraim0754,GIL RAIM,false,1180,27.9,323,1156,17.3,200,1156,9.6,37,387,3.6,3,83,26.7,8,30,20,2,10,48.8,41,84,60.9,14,23,63.6,7,11,28,7,25,50,4,8,0,0,2,2.16,201,93,36.4,201,552,37.5,84,224,45.2,38,84,48.7,109,224,-37.75,-44543,1180,-44543,-27050,-17493
,,9bbd8030-7c46-4c7b-a13b-b0c1450ecda0,Hibari,1268142998315728991,rakuen45s,楽園(Hibari),false,306,25.2,76,301,21.9,66,301,10.1,9,89,25,6,24,27.3,3,11,100,1,1,56,14,25,50,4,8,50,1,2,50,2,4,100,1,1,0,0,0,2.29,32,14,35.2,32,91,33.3,13,39,61.5,8,13,56.4,22,39,31.22,9554,306,9554,6514,3040
,,85fb0fe6-4794-4af8-aa0a-ed58562e5575,Hinano,,,,false,2,50,1,2,50,1,2,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,350,2,350,0,350
,,472fdc7c-f5ee-49fc-83b8-54e984f96a9c,Kenyu,1065080965606686841,takenouchi7551,Kenyu,false,950,30.9,287,929,19.7,183,929,13,37,284,10.6,10,94,41.9,18,43,42.9,3,7,71.2,47,66,42.9,15,35,71.4,5,7,16.7,5,30,8.3,1,12,33.3,2,6,1.60,144,90,30.5,144,472,40.5,75,185,46.7,35,75,45.9,85,185,-39.16,-37205,950,-37205,-22354,-14851
,,ff6ea978-62a5-4c3f-8de8-0e32f3e0ed14,Kuni,1193339497748910202,apollonia0708,Kuni,false,625,40.9,247,604,22.7,137,604,10.7,26,244,6.6,5,76,30.3,10,33,42.9,3,7,82.6,38,46,28,7,25,25,1,4,11.8,2,17,16.7,1,6,0,0,3,1.09,122,112,25.1,122,486,41.9,72,172,56.9,41,72,57,98,172,63.81,39881,625,39881,36396,3485
,,0f49def2-6fc3-4b55-8f0d-1ff30efcfc89,MIU,1470054352612753408,miu02412,MIU,false,113,20.9,23,110,15.5,17,110,13.9,5,36,0,0,4,0,0,2,0,0,0,71.4,5,7,25,1,4,100,1,1,0,0,0,0,0,0,0,0,0,2.29,16,7,35.6,16,45,40,6,15,33.3,2,6,60,9,15,13.66,1544,113,1544,-3386,4930
